 12Z 02 01 2017, 0.00, 4.59
 12Z 03 01 2017, 0.00, 5.59
 21Z 03 01 2017, 0.00, 7.30
 12Z 04 01 2017, 0.00, 5.97
 00Z 05 01 2017, 0.00, 5.79
 12Z 05 01 2017, 0.00, 6.22
 00Z 06 01 2017, 0.00, 6.47
 12Z 06 01 2017, 0.00, 13.07
 00Z 07 01 2017, 0.00, 8.20
 12Z 07 01 2017, 0.00, 6.38
 21Z 07 01 2017 
 00Z 08 01 2017, 0.00, 4.46
 12Z 08 01 2017, 0.00, 6.68
 21Z 08 01 2017, 0.00, 7.34
 12Z 09 01 2017, 0.00, 6.18
 21Z 09 01 2017, 0.00, 5.80
 12Z 10 01 2017, 0.00, 3.94
 00Z 11 01 2017, 0.00, 3.74
 12Z 11 01 2017, 0.00, 3.88
 12Z 12 01 2017, 0.00, 7.55
 00Z 13 01 2017, 0.00, 7.94
 09Z 13 01 2017, 0.00, 4.53
 00Z 14 01 2017, 0.00, 9.50
 12Z 14 01 2017, 0.00, 11.55
 00Z 15 01 2017, 0.00, 15.60
 12Z 15 01 2017, 0.00, 8.79
 21Z 15 01 2017, 0.00, 9.07
 12Z 16 01 2017, 0.00, 7.68
 00Z 17 01 2017, 0.00, 7.57
 09Z 17 01 2017, 0.00, 9.60
 00Z 18 01 2017, 0.00, 12.98
 12Z 18 01 2017, 0.00, 17.75
 00Z 19 01 2017, 0.00, 8.75
 12Z 19 01 2017, 0.00, 5.48
 21Z 19 01 2017, 0.00, 5.67
 12Z 20 01 2017, 0.00, 8.04
 00Z 21 01 2017, 0.00, 8.50
 12Z 21 01 2017, 0.00, 5.08
 00Z 22 01 2017, 0.00, 5.35
 12Z 22 01 2017, 0.00, 6.87
 00Z 23 01 2017, 0.00, 9.29
 12Z 23 01 2017, 0.00, 5.30
 00Z 24 01 2017, 0.00, 6.14
 12Z 24 01 2017, 0.00, 6.23
 00Z 25 01 2017, 0.00, 15.15
 12Z 25 01 2017, 0.00, 15.88
 00Z 26 01 2017, 0.00, 15.97
 12Z 26 01 2017, 15.36, 20.74
 03Z 27 01 2017, 0.00, 9.27
 12Z 27 01 2017, 0.00, 5.45
 00Z 28 01 2017, 0.00, 7.16
 12Z 28 01 2017, 0.00, 6.26
 21Z 28 01 2017 
 00Z 29 01 2017, 0.00, 7.19
 00Z 30 01 2017, 0.00, 5.06
 12Z 30 01 2017, 0.00, 4.79
 00Z 31 01 2017, 0.00, 7.51
 09Z 31 01 2017, 0.00, 7.24
 00Z 01 02 2017, 0.00, 9.08
 12Z 01 02 2017, 25.82, 8.93
 00Z 02 02 2017, 0.00, 3.64
 12Z 02 02 2017, 0.00, 3.35
 00Z 03 02 2017, 0.00, 2.88
 12Z 03 02 2017, 0.00, 2.52
 00Z 04 02 2017, 0.00, 2.67
 12Z 04 02 2017, 0.00, 5.16
 00Z 05 02 2017, 0.00, 6.61
 12Z 05 02 2017, 0.00, 3.32
 00Z 06 02 2017, 0.00, 3.00
 12Z 06 02 2017, 0.00, 4.91
 00Z 07 02 2017, 0.00, 5.28
 12Z 07 02 2017, 0.00, 3.55
 00Z 08 02 2017, 0.00, 11.10
 12Z 08 02 2017, 0.00, 11.52
 00Z 09 02 2017, 0.00, 4.73
 09Z 09 02 2017, 0.00, 6.71
 00Z 10 02 2017, 0.00, 6.16
 12Z 10 02 2017, 0.00, 5.42
 00Z 11 02 2017, 0.00, 6.45
 12Z 11 02 2017, 0.00, 4.83
 00Z 12 02 2017, 0.00, 6.52
 12Z 12 02 2017, 0.00, 8.48
 21Z 12 02 2017 
 00Z 13 02 2017, 0.00, 10.12
 12Z 13 02 2017, 0.00, 7.44
 00Z 14 02 2017, 0.00, 13.51
 12Z 14 02 2017, 0.00, 5.61
 00Z 15 02 2017, 0.00, 5.80
 12Z 15 02 2017, 0.00, 7.70
 00Z 16 02 2017, 0.00, 6.63
 12Z 16 02 2017, 0.00, 7.60
 00Z 17 02 2017, 0.00, 16.93
 12Z 17 02 2017, 0.00, 4.35
 00Z 18 02 2017, 0.00, 4.57
 12Z 18 02 2017, 0.00, 3.33
 00Z 19 02 2017, 0.00, 2.68
 12Z 19 02 2017, 0.00, 4.80
 00Z 20 02 2017, 0.00, 4.29
 12Z 20 02 2017, 0.00, 4.89
 21Z 20 02 2017, 0.00, 5.13
 12Z 21 02 2017, 0.00, 3.70
 21Z 21 02 2017 
 00Z 22 02 2017, 0.00, 4.82
 12Z 22 02 2017, 0.00, 6.93
 00Z 23 02 2017, 0.00, 8.50
 12Z 23 02 2017, 0.00, 9.21
 00Z 24 02 2017, 0.00, 7.10
 12Z 24 02 2017, 0.00, 5.81
 21Z 24 02 2017, 0.00, 4.60
 12Z 25 02 2017, 0.00, 6.23
 00Z 26 02 2017, 0.00, 6.36
 12Z 26 02 2017, 0.00, 5.58
 00Z 27 02 2017, 0.00, 6.42
 09Z 27 02 2017, 0.00, 7.51
 00Z 28 02 2017, 0.00, 12.33
 09Z 28 02 2017, 163.64, 15.68
 12Z 01 03 2017, 0.00, 7.09
 00Z 02 03 2017, 0.00, 10.58
 12Z 02 03 2017, 0.00, 10.04
 21Z 02 03 2017 
 00Z 03 03 2017, 0.00, 8.57
 12Z 03 03 2017, 0.00, 8.62
 00Z 04 03 2017, 0.00, 7.57
 12Z 04 03 2017, 0.00, 5.96
 00Z 05 03 2017, 0.00, 7.33
 12Z 05 03 2017, 0.00, 5.75
 00Z 06 03 2017, 0.00, 9.04
 00Z 07 03 2017, 0.00, 8.90
 12Z 07 03 2017, 0.00, 5.08
 21Z 07 03 2017, 0.00, 8.07
 12Z 08 03 2017, 0.00, 6.77
 21Z 08 03 2017, 0.00, 6.73
 12Z 10 03 2017, 0.00, 5.67
 00Z 11 03 2017, 0.00, 12.43
 12Z 11 03 2017, 0.00, 8.31
 00Z 12 03 2017, 0.00, 4.65
 12Z 12 03 2017, 0.00, 4.71
 00Z 13 03 2017, 0.00, 8.63
 12Z 13 03 2017, 0.00, 4.85
 00Z 14 03 2017, 0.00, 8.08
 12Z 15 03 2017, 0.00, 9.48
 00Z 16 03 2017, 0.00, 7.67
 12Z 16 03 2017, 0.00, 5.41
 00Z 17 03 2017, 0.00, 6.55
 12Z 17 03 2017, 0.00, 6.68
 00Z 18 03 2017, 0.00, 6.78
 12Z 18 03 2017, 0.00, 5.11
 00Z 19 03 2017, 81.53, 12.00
 12Z 19 03 2017, 19.06, 12.86
 21Z 19 03 2017 
 00Z 20 03 2017, 0.00, 12.71
 12Z 20 03 2017, 0.00, 7.59
 12Z 21 03 2017, 0.00, 6.91
 00Z 22 03 2017, 0.00, 13.46
 12Z 22 03 2017, 0.00, 14.68
 00Z 23 03 2017, 0.00, 17.43
 00Z 24 03 2017, 0.00, 13.41
 12Z 24 03 2017, 21.09, 10.80
 00Z 25 03 2017, 0.00, 10.24
 12Z 25 03 2017, 0.00, 8.93
 00Z 26 03 2017, 0.00, 7.92
 12Z 26 03 2017, 0.00, 8.82
 00Z 27 03 2017, 0.00, 8.73
 12Z 29 03 2017, 0.00, 9.93
 00Z 30 03 2017, 0.00, 12.00
 12Z 30 03 2017, 0.00, 11.81
 00Z 31 03 2017, 0.00, 11.24
 12Z 31 03 2017, 0.00, 9.32
 00Z 01 04 2017, 0.00, 12.41
 12Z 01 04 2017, 38.22, 12.33
 00Z 02 04 2017, 0.00, 17.61
 12Z 02 04 2017, 0.00, 7.95
 00Z 03 04 2017, 0.00, 8.62
 12Z 03 04 2017, 0.00, 6.90
 21Z 03 04 2017, 0.00, 6.49
 00Z 04 04 2017, 0.00, 11.66
 12Z 04 04 2017, 0.00, 6.67
 00Z 05 04 2017, 0.00, 11.89
 12Z 05 04 2017, 0.00, 14.89
 00Z 06 04 2017, 0.00, 8.39
 12Z 08 04 2017, 0.00, 6.15
 21Z 08 04 2017, 0.00, 9.61
 00Z 10 04 2017, 0.00, 14.70
 12Z 10 04 2017, 0.00, 14.61
 00Z 11 04 2017, 0.00, 17.78
 12Z 11 04 2017, 0.00, 20.35
 00Z 12 04 2017, 0.00, 19.69
 12Z 12 04 2017, 369.07, 20.53
 00Z 13 04 2017, 0.00, 24.19
 12Z 13 04 2017, 10.37, 25.47
 00Z 14 04 2017, 164.28, 27.44
 12Z 14 04 2017, 0.00, 19.54
 00Z 15 04 2017, 0.00, 15.27
 12Z 15 04 2017, 0.00, 10.00
 00Z 16 04 2017, 0.00, 9.18
 12Z 16 04 2017, 0.00, 9.15
 00Z 17 04 2017, 0.00, 11.40
 12Z 17 04 2017, 0.00, 8.06
 00Z 18 04 2017, 0.00, 9.88
 12Z 18 04 2017, 0.00, 7.02
 21Z 18 04 2017, 0.00, 5.83
 12Z 19 04 2017, 0.00, 5.56
 12Z 20 04 2017, 0.00, 5.06
 21Z 20 04 2017, 0.00, 7.32
 12Z 21 04 2017, 0.00, 10.20
 00Z 22 04 2017, 0.00, 14.24
 12Z 22 04 2017, 50.25, 18.35
 00Z 23 04 2017, 44.40, 24.52
 12Z 23 04 2017, 354.98, 25.22
 00Z 24 04 2017, 0.00, 17.76
 12Z 24 04 2017, 0.00, 11.24
 00Z 25 04 2017, 0.00, 9.04
 12Z 25 04 2017, 0.00, 12.02
 12Z 26 04 2017, 0.00, 8.00
 21Z 26 04 2017, 0.00, 8.83
 00Z 27 04 2017, 0.00, 9.39
 12Z 27 04 2017, 0.00, 13.04
 00Z 28 04 2017, 0.00, 12.49
 12Z 28 04 2017, 0.00, 12.93
 00Z 29 04 2017, 0.00, 12.14
 12Z 29 04 2017, 87.82, 14.90
 00Z 30 04 2017, 18.62, 18.91
 12Z 30 04 2017, 596.81, 18.85
 00Z 01 05 2017, 0.00, 10.28
 12Z 01 05 2017, 0.00, 15.34
 21Z 01 05 2017, 0.00, 16.78
 00Z 02 05 2017 
 12Z 02 05 2017, 0.00, 6.82
 00Z 03 05 2017, 0.00, 11.95
 12Z 03 05 2017, 0.00, 14.11
 21Z 03 05 2017, 0.00, 15.19
 00Z 04 05 2017 
 12Z 04 05 2017, 0.00, 15.60
 00Z 05 05 2017, 0.00, 14.61
 12Z 05 05 2017, 0.00, 10.85
 00Z 06 05 2017, 0.00, 11.28
 12Z 06 05 2017, 0.00, 10.78
 00Z 07 05 2017, 0.00, 10.88
 12Z 07 05 2017, 0.00, 9.69
 00Z 08 05 2017, 0.00, 10.74
 12Z 08 05 2017, 0.00, 12.13
 00Z 09 05 2017, 0.00, 12.97
 21Z 09 05 2017, 0.00, 7.73
 00Z 10 05 2017, 0.00, 7.02
 00Z 11 05 2017, 0.00, 8.87
 12Z 11 05 2017, 0.00, 9.33
 00Z 12 05 2017, 0.00, 13.78
 12Z 12 05 2017, 0.00, 15.41
 00Z 13 05 2017, 0.00, 10.73
 12Z 13 05 2017, 0.00, 14.61
 00Z 14 05 2017, 0.00, 13.31
 12Z 14 05 2017, 0.00, 16.36
 00Z 15 05 2017, 0.00, 13.61
 21Z 15 05 2017, 0.00, 16.59
 00Z 16 05 2017 
 12Z 16 05 2017, 0.00, 15.40
 00Z 17 05 2017, 0.00, 13.92
 12Z 17 05 2017, 0.00, 19.60
 21Z 17 05 2017, 0.00, 12.34
 12Z 18 05 2017, 0.00, 15.51
 00Z 19 05 2017, 0.00, 22.45
 12Z 19 05 2017, 346.43, 22.42
 00Z 20 05 2017, 0.00, 21.00
 12Z 20 05 2017, 0.00, 11.22
 21Z 20 05 2017, 0.00, 10.89
 00Z 21 05 2017 
 12Z 21 05 2017, 0.00, 9.53
 00Z 22 05 2017, 0.00, 7.96
 12Z 22 05 2017, 0.00, 9.07
 21Z 22 05 2017, 0.00, 8.11
 00Z 23 05 2017 
 12Z 23 05 2017, 0.00, 12.63
 00Z 24 05 2017, 0.00, 8.88
 12Z 24 05 2017, 0.00, 10.11
 12Z 25 05 2017, 0.00, 9.09
 21Z 25 05 2017, 0.00, 9.30
 00Z 26 05 2017 
 12Z 26 05 2017, 0.00, 12.55
 00Z 27 05 2017, 0.00, 9.95
 12Z 27 05 2017, 0.00, 8.91
 00Z 28 05 2017, 0.00, 10.20
 12Z 28 05 2017, 0.00, 12.85
 00Z 29 05 2017, 0.00, 10.95
 12Z 29 05 2017, 0.00, 13.36
 21Z 29 05 2017, 0.00, 14.04
 12Z 30 05 2017, 0.00, 14.42
 00Z 31 05 2017, 0.00, 16.80
 12Z 31 05 2017, 63.95, 18.79
 00Z 01 06 2017, 0.00, 18.16
 12Z 01 06 2017, 0.00, 14.14
 21Z 01 06 2017, 0.00, 11.23
 12Z 02 06 2017, 0.00, 8.48
 21Z 02 06 2017, 0.00, 11.24
 12Z 03 06 2017, 0.00, 9.75
 21Z 03 06 2017, 0.00, 12.68
 00Z 04 06 2017, 0.00, 11.08
 12Z 04 06 2017, 0.00, 10.49
 21Z 04 06 2017, 0.00, 11.79
 12Z 05 06 2017, 0.00, 17.17
 00Z 06 06 2017, 0.00, 13.88
 12Z 06 06 2017, 0.00, 10.93
 21Z 06 06 2017, 0.00, 10.18
 12Z 07 06 2017, 0.00, 11.43
 00Z 08 06 2017, 0.00, 11.14
 12Z 08 06 2017, 0.00, 13.68
 00Z 09 06 2017, 0.00, 12.59
 12Z 09 06 2017, 0.00, 13.55
 21Z 09 06 2017, 0.00, 12.42
 12Z 10 06 2017, 0.00, 12.94
 00Z 11 06 2017, 0.00, 12.41
 12Z 11 06 2017, 0.00, 12.11
 00Z 12 06 2017, 0.00, 6.99
 12Z 12 06 2017, 0.00, 11.39
 00Z 13 06 2017, 0.00, 12.36
 12Z 13 06 2017, 0.00, 12.70
 21Z 13 06 2017, 0.00, 13.44
 00Z 14 06 2017 
 12Z 14 06 2017, 0.00, 17.30
 00Z 15 06 2017, 0.00, 18.28
 12Z 15 06 2017, 15.28, 19.72
 00Z 16 06 2017, 0.00, 13.29
 12Z 16 06 2017, 0.00, 12.63
 00Z 17 06 2017, 0.00, 12.98
 12Z 17 06 2017, 0.00, 10.02
 00Z 18 06 2017, 0.00, 14.52
 12Z 18 06 2017, 0.00, 11.23
 00Z 19 06 2017, 0.00, 11.71
 12Z 19 06 2017, 0.00, 14.93
 21Z 19 06 2017, 0.00, 16.08
 12Z 21 06 2017, 316.09, 17.61
 00Z 22 06 2017, 0.00, 22.38
 12Z 22 06 2017, 0.00, 22.09
 21Z 22 06 2017, 0.00, 16.50
 00Z 23 06 2017, 0.00, 14.62
 12Z 23 06 2017, 0.00, 13.14
 00Z 24 06 2017, 0.00, 14.74
 12Z 24 06 2017, 0.00, 13.44
 21Z 24 06 2017 
 00Z 25 06 2017, 0.00, 15.27
 12Z 25 06 2017, 0.00, 14.44
 00Z 26 06 2017, 0.00, 15.97
 21Z 26 06 2017, 0.00, 11.33
 00Z 27 06 2017, 0.00, 13.13
 12Z 27 06 2017, 0.00, 15.26
 00Z 28 06 2017, 0.00, 14.99
 12Z 28 06 2017, 0.00, 15.46
 00Z 29 06 2017, 0.00, 17.93
 12Z 29 06 2017, 0.00, 15.01
